ticker,Company Name,Industry,sector,industry_group,is_fo_stock,fo_category,Include,stage,stage_raw,stage_variant,stage_confidence,stage_reason,stage_state_reason,stage_failed_since,last_stage2_date,stage_pending_raw,rs_3m_pct,rs_6m_pct,avg_turnover_inr,volume_dryup_ratio,breakout_volume_ratio,weekly_volume_ratio,volume_is_drying_up,weekly_volume_is_drying_up,notes,daily_setup_bucket,daily_score,final_daily_score,daily_pivot,daily_breakout_distance_pct,daily_contraction_depths_pct,daily_contraction_durations,daily_contraction_score,daily_base_duration_days,current_rank
BHARATFORG.NS,Bharat Forge Limited,Auto Parts,Consumer Cyclical,Consumer Cyclical,True,F&O,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-06-11,,11.72,52.64,1804153444.34,0.95,0.62,0.75,False,True,"Stage 2, Clean Stage 2, trend_template_ok, weekly_volume_dryup",watchlist,57.84,58.84,2047.58,-5.11,"[16.81, 10.59]","[19, 8]",0.9,49.0,30
SJS.NS,S.J.S. Enterprises Limited,Auto Parts,Consumer Cyclical,Consumer Cyclical,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-06-11,,26.88,37.08,190932630.6,0.91,0.42,0.65,False,True,"Stage 2, Clean Stage 2, trend_template_ok, weekly_volume_dryup",watchlist,57.52,58.52,2141.54,-2.22,"[22.12, 12.26]","[21, 11]",0.9,43.0,31
MOTHERSON.NS,Samvardhana Motherson International Limited,Auto Parts,Consumer Cyclical,Consumer Cyclical,True,F&O,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-06-11,,19.91,31.95,3948692394.35,1.11,0.64,0.69,False,True,"Stage 2, Clean Stage 2, trend_template_ok, weekly_volume_dryup",watchlist,57.14,58.14,152.04,-7.43,"[24.07, 10.96]","[33, 9]",0.9,54.0,32
BHEL.NS,Bharat Heavy Electricals Limited,Specialty Industrial Machinery,Industrials,Industrials,True,F&O,1,Stage 2,Stage 2,Stage 2,0.76,Advancing structure detected.,,,2026-06-11,,48.53,44.84,4486760459.9,0.69,0.64,0.65,True,True,"Stage 2, Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup",watchlist,53.03,58.03,425.64,-12.92,"[21.38, 10.76, 11.53]","[13, 15, 14]",0.55,58.0,33
IFCI.NS,IFCI Limited,Credit Services,Financial Services,Financial Services,False,Cash,1,Stage 2,Stage 2,Stage 2,0.76,Advancing structure detected.,,,2026-06-11,,35.07,56.71,4417012293.12,2.6,0.82,1.43,False,False,"Stage 2, Stage 2, trend_template_ok",watchlist,56.97,56.97,83.59,-15.68,"[24.25, 22.45, 10.22, 8.53]","[19, 10, 8, 7]",1.0,69.0,34
AIAENG.NS,AIA Engineering Limited,Specialty Industrial Machinery,Industrials,Industrials,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-06-11,,17.62,25.71,613684156.22,1.48,0.65,1.55,False,False,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",watchlist,51.11,56.11,4110.0,5.07,"[15.72, 17.21, 9.98]","[22, 5, 12]",0.55,63.0,35
HONASA.NS,Honasa Consumer Limited,Household & Personal Products,Consumer Defensive,Consumer Defensive,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-06-11,,47.95,73.92,2164367916.27,0.79,3.38,1.25,True,False,"Stage 2, Clean Stage 2, trend_template_ok, volume_dryup",watchlist,53.11,55.61,424.9,-1.71,[7.99],[8],0.0,8.0,36
NAM-INDIA.NS,Nippon Life India Asset Management Limited,Asset Management,Financial Services,Financial Services,True,F&O,1,Stage 2,Stage 2,Messy Stage 2,0.64,"Long-term structure is still constructive, but the short-term/weekly structure is not clean.",,,2026-06-11,,25.1,38.26,1195642294.41,1.1,0.45,1.01,False,False,"Stage 2, Messy Stage 2, trend_template_ok",watchlist,54.33,55.33,1146.4,-9.14,"[18.26, 10.73]","[11, 7]",0.9,25.0,37
SKYGOLD.NS,SKY GOLD AND DIAMONDS LIMITED,Luxury Goods,Consumer Cyclical,Consumer Cyclical,False,Cash,1,Stage 2,Stage 2,Stage 2,0.76,Advancing structure detected.,,,2026-06-11,,47.35,61.09,781069988.09,1.45,0.26,1.07,False,False,"Stage 2, Stage 2, trend_template_ok",watchlist,52.09,54.59,591.03,-16.97,"[16.92, 17.36]","[11, 11]",0.9,40.0,38
NUVAMA.NS,Nuvama Wealth Management Limited,Asset Management,Financial Services,Financial Services,True,F&O,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-06-11,,29.35,18.8,691071972.64,0.89,0.86,0.76,False,True,"Stage 2, Clean Stage 2, trend_template_ok, weekly_volume_dryup",watchlist,52.81,53.81,1635.15,-7.64,"[20.12, 22.0, 7.2]","[25, 28, 8]",0.55,83.0,39
DREDGECORP.NS,Dredging Corporation of India Limited,Engineering & Construction,Industrials,Industrials,False,Cash,1,Stage 2,Stage 2,Stage 2,0.76,Advancing structure detected.,,,2026-06-11,,11.72,12.13,1151903895.53,0.87,0.36,0.56,False,True,"Stage 2, Stage 2, trend_template_ok, weekly_vcp_ok, weekly_volume_dryup, weekly_strong",watchlist,52.76,53.76,1288.25,-19.25,"[27.22, 27.75, 22.65]","[17, 18, 20]",0.95,71.0,40
BSE.NS,BSE Limited,Financial Services,Financial Services,Financial Services,True,F&O,1,Stage 2,Stage 2,Stage 2,0.76,Advancing structure detected.,,,2026-06-11,,40.64,54.21,16344637402.88,1.0,0.54,0.95,False,False,"Stage 2, Stage 2, trend_template_ok",watchlist,53.38,53.38,4454.58,-12.71,"[21.38, 11.05]","[14, 7]",0.9,31.0,41
TORNTPHARM.NS,Torrent Pharmaceuticals Limited,Drug Manufacturers - Specialty & Generic,Healthcare,Healthcare,True,F&O,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-06-11,,6.99,33.58,2442080403.15,1.76,1.93,1.09,False,False,"Stage 2, Clean Stage 2, trend_template_ok",watchlist,48.28,53.28,4711.78,-2.96,[13.65],[12],0.0,12.0,42
IIFLCAPS.NS,IIFL Capital Services Limited,Capital Markets,Financial Services,Financial Services,False,Cash,1,Stage 2,Stage 2,Stage 2,0.76,Advancing structure detected.,,,2026-06-11,,18.86,18.11,218055259.08,1.03,0.4,1.1,False,False,"Stage 2, Stage 2, trend_template_ok",watchlist,53.13,53.13,369.04,-7.25,"[28.22, 26.14]","[17, 16]",0.9,55.0,43
BAJAJCON.NS,Bajaj Consumer Care Limited,Household & Personal Products,Consumer Defensive,Consumer Defensive,False,Cash,1,Stage 2,Stage 2,Extended Stage 2,0.78,"Advancing structure remains intact, but price is stretched versus key moving averages or far above the 52-week low.",,,2026-06-11,,62.02,130.98,416994764.79,0.51,0.97,0.7,True,True,"Stage 2, Extended Stage 2, trend_template_ok, volume_dryup, weekly_volume_dryup",watchlist,50.5,53.0,581.47,-2.62,[21.7],[12],0.0,12.0,44
ASHIANA.NS,Ashiana Housing Limited,Real Estate,Real Estate,Real Estate,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-06-11,,18.66,33.17,28749737.25,0.8,0.31,0.58,True,True,"Stage 2, Clean Stage 2, trend_template_ok, daily_vcp_ok, volume_dryup, weekly_volume_dryup",forming_vcp,52.42,52.42,389.4,-8.27,"[23.49, 4.8]","[30, 36]",0.9,71.0,45
PRUDENT.NS,Prudent Corporate Advisory Services Limited,Asset Management,Financial Services,Financial Services,False,Cash,1,Stage 2,Stage 2,Early Stage 2,0.72,"Price has moved above long-term structure, but the full moving-average stack is not clean yet.",,,2026-06-11,,30.45,20.1,69574737.7,0.96,1.12,0.54,False,True,"Stage 2, Early Stage 2, weekly_volume_dryup",watchlist,51.13,52.13,2955.16,-4.68,"[25.52, 11.79]","[23, 11]",0.9,72.0,46
JBCHEPHARM.NS,JB Chemicals & Pharmaceuticals Limited,Drug Manufacturers - Specialty & Generic,Healthcare,Healthcare,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-06-11,,10.01,37.62,616114015.1,1.07,1.35,0.85,False,True,"Stage 2, Clean Stage 2, trend_template_ok, weekly_volume_dryup",watchlist,46.04,51.04,2279.64,-1.18,[13.78],[7],0.0,7.0,47
BALRAMCHIN.NS,Balrampur Chini Mills Limited,Consumer Defensive,Consumer Defensive,Consumer Defensive,False,Cash,1,Stage 2,Stage 2,Early Stage 2,0.72,"Price has moved above long-term structure, but the full moving-average stack is not clean yet.",,,2026-06-11,,9.29,42.78,366336309.53,0.99,1.32,1.1,False,False,"Stage 2, Early Stage 2",watchlist,50.03,50.03,563.4,-2.64,"[15.94, 9.92, 7.7]","[9, 10, 26]",0.95,53.0,48
SHRIPISTON.NS,Shriram Pistons & Rings Limited,Auto Parts,Consumer Cyclical,Consumer Cyclical,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-06-11,,19.23,26.22,164341027.45,0.86,1.63,1.18,False,False,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",watchlist,48.89,49.89,3683.43,-4.95,[12.37],[11],0.0,11.0,49
