ticker,Company Name,Industry,sector,is_fo_stock,fo_category,Include,stage,stage_raw,stage_variant,stage_confidence,stage_reason,stage_state_reason,stage_failed_since,last_stage2_date,stage_pending_raw,daily_setup_bucket,weekly_setup_bucket,combined_bucket,daily_score,weekly_score,combined_score,industry_boost,final_daily_score,final_weekly_score,final_combined_score,rs_3m_pct,rs_6m_pct,avg_turnover_inr,notes,current_rank,prev_rank,prev_stage,prev_daily_setup_bucket,prev_weekly_setup_bucket,prev_score,rank_change,combined_score_change,new_daily_breakout,new_weekly_breakout,entered_stage_2,new_top_10,new_top_20
ACE.NS,Action Construction Equipment Limited,Farm & Heavy Construction Machinery,Industrials,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-09-24,,forming_vcp,weekly_breakout,watchlist,62.85,67.65,65.01,2.0,62.85,67.65,67.01,26.03,50.43,400180780.15,"Stage 2, Clean Stage 2, trend_template_ok, daily_vcp_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",21,21,Stage 2,forming_vcp,weekly_breakout,67.05,0,-0.03999999999999204,False,False,False,False,False
TI.NS,Tilaknagar Industries Limited,Consumer Defensive,Consumer Defensive,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-09-24,,watchlist,weekly_near_pivot,watchlist,62.39,72.55,66.96,0.0,62.39,72.55,66.96,31.64,35.9,433787798.71,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",22,24,Stage 2,watchlist,weekly_near_pivot,66.27,2,0.6899999999999977,False,False,False,False,False
SPLPETRO.NS,Supreme Petrochem Limited,Specialty Chemicals,Basic Materials,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-09-24,,watchlist,weekly_breakout,watchlist,60.25,63.42,61.68,5.0,60.25,63.42,66.68,25.75,19.42,344419051.81,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_volume_dryup, weekly_strong",23,22,Stage 2,watchlist,weekly_breakout,67.05,-1,-0.36999999999999034,False,False,False,False,False
PFOCUS.NS,Prime Focus Limited,Communication Services,Communication Services,False,Cash,1,Stage 2,Stage 2,Stage 2,0.76,Advancing structure detected.,,,2026-09-24,,watchlist,weekly_breakout,watchlist,54.29,68.95,60.89,5.0,54.29,68.95,65.89,38.97,-7.47,826872235.47,"Stage 2, Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",24,17,Stage 2,watchlist,weekly_breakout,67.93,-7,-2.0400000000000063,False,False,False,False,False
JYOTICNC.NS,Jyoti CNC Automation Limited,Specialty Industrial Machinery,Industrials,False,Cash,1,Stage 2,Stage 2,Early Stage 2,0.72,"Price has moved above long-term structure, but the full moving-average stack is not clean yet.",,,2026-09-24,,watchlist,weekly_breakout,watchlist,41.2,73.57,55.77,10.0,41.2,73.57,65.77,39.68,38.04,1371319488.11,"Stage 2, Early Stage 2, weekly_vcp_ok, weekly_strong",25,26,Stage 2,watchlist,weekly_breakout,65.87,1,-0.10000000000000853,False,False,False,False,False
HAL.NS,Hindustan Aeronautics Limited,Aerospace & Defense,Industrials,True,F&O,1,Stage 2,Stage 2,Early Stage 2,0.72,"Price has moved above long-term structure, but the full moving-average stack is not clean yet.",,,2026-09-24,,watchlist,weekly_near_pivot,watchlist,43.1,69.95,55.18,10.0,43.1,69.95,65.18,11.5,30.03,3719434090.92,"Stage 2, Early Stage 2, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",26,25,Stage 2,watchlist,weekly_near_pivot,65.89,-1,-0.7099999999999937,False,False,False,False,False
SONACOMS.NS,Sona BLW Precision Forgings Limited,Auto Parts,Consumer Cyclical,True,F&O,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-09-24,,watchlist,weekly_near_pivot,watchlist,48.89,73.8,60.1,5.0,48.89,73.8,65.1,36.15,65.3,1515326133.64,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",27,28,Stage 2,watchlist,weekly_near_pivot,65.04,1,0.05999999999998806,False,False,False,False,False
SANATHAN.NS,Sanathan Textiles Limited,Textile Manufacturing,Consumer Cyclical,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-09-24,,watchlist,weekly_breakout,watchlist,40.36,72.56,54.85,10.0,40.36,72.56,64.85,20.27,36.36,84414101.88,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",28,31,Stage 2,watchlist,weekly_breakout,63.29,3,1.5599999999999952,False,False,False,False,False
BOSCH-HCIL.NS,BOSCH HOME COMFORT INDIA LIMITED,"Furnishings, Fixtures & Appliances",Consumer Cyclical,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-09-24,,watchlist,weekly_forming,watchlist,74.7,52.1,64.53,0.0,74.7,52.1,64.53,36.12,59.15,73239828.17,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup",29,74,Stage 2,watchlist,weekly_forming,56.28,45,8.25,False,False,False,False,False
KSL.NS,Kalyani Steels Limited,Steel,Basic Materials,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-09-24,,watchlist,weekly_near_pivot,watchlist,38.38,73.22,54.06,10.0,38.38,73.22,64.06,15.48,58.69,159415562.99,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",30,29,Stage 2,watchlist,weekly_breakout,64.32,-1,-0.2599999999999909,False,False,False,False,False
