ticker,Company Name,Industry,sector,is_fo_stock,fo_category,stage,overall_setup_label,final_combined_score,change_1d_pct,change_1w_pct,change_1m_pct,change_ytd_pct,last_close
AUBANK.NS,AU Small Finance Bank Limited,Banks - Regional,Financial Services,True,F&O,Stage 2,watchlist,68.38,-1.79,0.32,2.71,2.69,1026.35
KPRMILL.NS,K.P.R. Mill Limited,Textile Manufacturing,Consumer Cyclical,False,Cash,Stage 2,watchlist,64.49,-1.79,7.26,19.01,24.32,1131.15
BLS.NS,BLS International Services Limited,Industrials,Industrials,False,Cash,Stage 4,watchlist,19.41,-1.8,-0.72,-2.51,-16.69,262.3
RUSTOMJEE.NS,Keystone Realtors Limited,Real Estate,Real Estate,False,Cash,Stage 4,watchlist,0.0,-1.81,-2.47,-3.46,-27.75,388.25
POWERINDIA.NS,Hitachi Energy India Limited,Electrical Equipment & Parts,Industrials,True,F&O,Stage 2,watchlist,50.04,-1.82,3.89,1.28,95.27,36090.0
AZAD.NS,Azad Engineering Limited,Specialty Industrial Machinery,Industrials,False,Cash,Stage 2,watchlist,32.32,-1.82,-4.07,0.19,25.76,2044.6
DALMIASUG.NS,Dalmia Bharat Sugar and Industries Limited,Consumer Defensive,Consumer Defensive,False,Cash,Stage 3,watchlist,4.48,-1.82,-2.33,-2.38,13.62,331.55
BALMLAWRIE.NS,Balmer Lawrie & Company Limited,Conglomerates,Industrials,False,Cash,Not Sure,watchlist,2.37,-1.82,-0.84,-1.88,-0.23,179.94
TARIL.NS,Transformers And Rectifiers (India) Limited,Electrical Equipment & Parts,Industrials,False,Cash,Stage 1,watchlist,48.83,-1.83,6.71,9.89,12.07,345.05
CAPLIPOINT.NS,Caplin Point Laboratories Limited,Drug Manufacturers - Specialty & Generic,Healthcare,False,Cash,Stage 2,watchlist,36.45,-1.83,4.76,20.11,38.74,2490.9
SIGNATURE.NS,Signatureglobal (India) Limited,Real Estate,Real Estate,False,Cash,Stage 4,watchlist,2.85,-1.83,-2.34,-4.33,-31.04,778.4
SOUTHBANK.NS,The South Indian Bank Limited,Banks - Regional,Financial Services,False,Cash,Stage 2,watchlist,66.59,-1.84,-2.92,11.76,20.8,45.82
GPIL.NS,Godawari Power And Ispat limited,Steel,Basic Materials,False,Cash,Stage 2,watchlist,51.15,-1.84,-1.84,-4.67,1.93,271.75
PTC.NS,PTC India Limited,Utilities,Utilities,False,Cash,Stage 2,watchlist,26.97,-1.84,-4.5,-2.85,16.55,186.46
