Industry,avg_rs_3m,avg_rs_6m,avg_daily_score,avg_weekly_score,avg_combined_score,stock_count,actionable_daily,actionable_weekly,strong_combined,rs_score,rs_rank,current_rank,prev_rank,prev_avg_combined_score,prev_rs_rank,prev_strong_combined,prev_actionable_daily,prev_actionable_weekly,rank_change,combined_score_change,strong_combined_change,actionable_daily_change,actionable_weekly_change,new_cluster
Luxury Goods,6.316,6.323,12.486,14.187000000000001,13.251,10,0,0,0,6.3195,44.642857142857146,39,42,12.393,32.142857142857146,0,0,0,3,0.86,0,0,0,False
Solar,24.374000000000002,-4.358,6.302,21.676,13.219999999999999,5,0,0,0,10.008000000000001,58.92857142857143,40,36,13.372,62.5,0,0,0,-4,-0.15,0,0,0,False
Software - Application,11.950000000000001,-4.204999999999999,11.065833333333332,15.774166666666666,13.185,12,0,0,0,3.872500000000001,33.92857142857143,41,38,13.269166666666663,35.714285714285715,0,0,0,-3,-0.08,0,0,0,False
"Furnishings, Fixtures & Appliances",2.651875,-5.529999999999999,6.78375,20.978125,13.171875,16,0,1,0,-1.4390624999999997,16.071428571428573,42,45,12.05625,16.071428571428573,0,0,0,3,1.12,0,0,1,False
Mortgage Finance,10.125,-0.33700000000000035,7.302000000000001,20.195,13.104,10,0,0,0,4.894,39.285714285714285,43,43,12.271,37.5,0,0,0,0,0.83,0,0,0,False
Insurance - Life,1.2575000000000003,-0.13624999999999987,15.147499999999999,10.52875,13.0675,8,0,0,0,0.5606250000000002,23.214285714285715,44,37,13.27375,26.785714285714285,0,0,0,-7,-0.21,0,0,0,False
Household & Personal Products,10.358333333333333,17.253333333333334,14.295,11.196666666666667,12.901666666666666,12,0,0,0,13.805833333333332,69.64285714285714,45,41,12.768333333333333,67.85714285714286,0,0,0,-4,0.13,0,0,0,False
Communication Services,3.131333333333333,1.6373333333333335,7.980666666666667,17.448666666666668,12.241333333333333,15,0,0,0,2.384333333333333,28.57142857142857,46,44,12.08,28.57142857142857,0,0,0,-2,0.16,0,0,0,False
Software - Infrastructure,4.243333333333333,-20.25,11.344999999999999,12.148333333333333,11.706666666666665,6,0,0,0,-8.003333333333334,3.571428571428571,47,47,11.658333333333331,3.571428571428571,0,0,0,0,0.05,0,0,0,False
Telecom Services,4.241428571428571,-3.0357142857142856,11.245714285714286,11.067142857142857,11.165714285714285,7,0,0,0,0.6028571428571428,25.0,48,49,10.281428571428572,19.642857142857142,0,0,0,1,0.88,0,0,0,False
Farm & Heavy Construction Machinery,2.638333333333333,-2.7399999999999998,3.875,18.881666666666664,10.628333333333334,6,0,0,0,-0.050833333333333286,19.642857142857142,49,48,10.82,21.428571428571427,0,0,0,-1,-0.19,0,0,0,False
Consumer Cyclical,0.5269230769230769,-9.202564102564102,5.012820512820513,16.622307692307693,10.237948717948717,39,0,2,0,-4.337820512820512,7.142857142857142,50,50,10.21102564102564,5.357142857142857,0,0,2,0,0.03,0,0,0,False
Real Estate,3.8868,-4.5488,6.096,13.3048,9.340399999999999,25,0,0,0,-0.33099999999999996,17.857142857142858,51,51,9.5236,17.857142857142858,0,0,0,0,-0.18,0,0,0,False
Oil & Gas Refining & Marketing,-1.1611111111111114,-3.558888888888889,7.065555555555556,10.651111111111112,8.678888888888888,9,0,0,0,-2.3600000000000003,14.285714285714285,52,54,7.676666666666667,10.714285714285714,0,0,0,2,1.0,0,0,0,False
Building Materials,-2.5900000000000003,-4.5131250000000005,4.571875,12.943125,8.33875,16,0,0,0,-3.5515625,10.714285714285714,53,52,8.806875,12.5,0,0,0,-1,-0.47,0,0,0,False
Information Technology Services,2.095416666666667,-10.849166666666667,5.889583333333333,8.68375,7.146666666666667,24,0,1,0,-4.376875,5.357142857142857,54,53,7.733333333333333,7.142857142857142,0,0,1,-1,-0.59,0,0,0,False
Real Estate Services,-0.61,-18.46,7.45,4.0,5.9,1,0,0,0,-9.535,1.7857142857142856,55,55,5.9,1.7857142857142856,0,0,0,0,0.0,0,0,0,False
Lodging,-1.0544444444444445,-7.450000000000001,2.283333333333333,2.7866666666666666,2.508888888888889,9,0,0,0,-4.252222222222223,8.928571428571429,56,56,2.568888888888889,8.928571428571429,0,0,0,0,-0.06,0,0,0,False
