company_name,industry,symbol,Series,sector,ticker,f&o,Include,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tata Power Company Limited,Utilities,TATAPOWER,EQ,Utilities,TATAPOWER.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samvardhana Motherson International Limited,Auto Parts,MOTHERSON,EQ,Consumer Cyclical,MOTHERSON.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Railway Finance Corporation Limited,Credit Services,IRFC,EQ,Financial Services,IRFC.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG Power and Industrial Solutions Limited,Electrical Equipment & Parts,CGPOWER,EQ,Industrials,CGPOWER.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polycab India Limited,Electrical Equipment & Parts,POLYCAB,EQ,Industrials,POLYCAB.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank of Baroda,Banks - Regional,BANKBARODA,EQ,Financial Services,BANKBARODA.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siemens Limited,Specialty Industrial Machinery,SIEMENS,EQ,Industrials,SIEMENS.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tata Capital Limited,Asset Management,TATACAP,EQ,Financial Services,TATACAP.NS,#N/A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDFC Life Insurance Company Limited,Insurance - Life,HDFCLIFE,EQ,Financial Services,HDFCLIFE.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Britannia Industries Limited,Packaged Foods,BRITANNIA,EQ,Consumer Defensive,BRITANNIA.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tata Motors Passenger Vehicles Limited,Auto Manufacturers,TMPV,EQ,Consumer Cyclical,TMPV.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
